GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector.alarm,MessageUtil,55,307,13,5,8,66,10,11,1,11
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector.alarm,AlarmManager,116,0,12,0,28,0,10,0,4,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector.alarm,Msg,10,126,0,2,4,29,3,14,3,13
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector.alarm,MsgType,37,209,5,3,6,20,6,5,3,4
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector.alarm,AlarmTaskThread,327,322,22,22,76,72,21,11,6,4
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector.alarm,HeartBeat,19,72,1,1,8,15,2,3,1,3
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.messagemgr,MessageChannelFactory,18,59,4,6,5,16,5,6,1,5
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.messagemgr,MessageChannel,5,58,1,3,1,17,1,9,0,8
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.taskscheduler,CollectManager,177,0,22,0,43,0,16,0,5,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.taskscheduler,QuartzManager,223,0,8,0,69,0,11,0,7,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.taskscheduler,CollectOderJob,52,0,2,0,16,0,3,0,2,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.model,CollectVo,35,146,0,0,13,32,11,19,11,19
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.model,EMSInfo,3,44,0,0,1,9,1,5,1,5
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.model,CrontabVo,18,67,0,0,6,15,6,8,6,8
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.model,CollectMsg,3,43,0,0,1,10,1,7,1,7
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.ftp,FTPSrv,309,0,26,0,76,0,20,0,7,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.ftp,AFtpRemoteFile,4,31,0,0,1,10,1,3,1,3
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector,CollectMsgReceiverThread,60,51,6,4,11,17,4,6,0,5
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector,TaskThreadService,74,78,1,5,12,25,1,9,0,7
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.collector,TaskThread,2018,914,189,83,391,232,117,46,13,12
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.serviceregister.model,MsbRegisterVo,0,60,0,0,0,24,0,13,0,13
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.serviceregister.model,ServiceNodeVo,0,24,0,0,0,10,0,7,0,7
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.service,CommandResource,0,15,0,0,0,3,0,2,0,2
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.serviceregister,MsbRestServiceProxy,33,78,5,1,7,12,4,3,1,3
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.serviceregister,MsbConfiguration,3,12,0,0,1,3,1,2,1,2
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,Gunzip,34,108,15,9,4,33,11,5,0,4
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,StringUtil,33,58,11,7,7,16,8,5,1,3
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,DriverThread,92,27,10,0,32,9,13,3,8,3
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,UnZip,67,125,6,8,9,32,6,4,0,3
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,XmlUtil,3,10,0,0,1,3,1,1,1,1
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,DateUtil,181,0,12,0,40,0,10,0,4,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,VarExprParser,316,0,32,0,69,0,21,0,5,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.utils,Zip,87,154,12,6,15,38,10,4,1,4
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver,EmsDriverApplication,268,0,10,0,65,0,14,0,9,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver,EmsDriverConfiguration,30,0,0,0,12,0,7,0,7,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.configmgr,ConfigurationManager.ReceiveSource,452,0,24,0,102,0,16,0,4,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.configmgr,ConfigurationImp,4,29,1,1,1,11,1,4,0,4
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.configmgr,ConfigurationManager,251,417,34,30,44,107,25,15,1,7
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,NorthMessageMgr.AlarmMessageRecv,319,0,20,0,75,0,13,0,3,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,NorthMessageMgr.ResultMessageRecv,89,0,8,0,19,0,6,0,2,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,HttpClientFactory.new TrustStrategy() {...},2,3,0,0,1,1,1,1,1,1
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,NorthMessageMgr.HeatBeatTread,44,0,2,0,15,0,3,0,2,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,NorthMessageMgr,198,0,2,0,39,0,5,0,4,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,HttpClientFactory,3,22,0,0,1,5,1,1,1,1
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,NorthMessageMgr.CollectMessageRecv,280,0,18,0,45,0,12,0,3,0
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.northbound.client,HttpClientUtil,178,135,46,4,38,46,26,4,1,4
vfc-nfvo-driver-ems-ems-boco,org.onap.vfc.nfvo.emsdriver.commons.constant,Constant,5,70,1,1,1,10,2,1,1,1
